id: 63, sign: 11208af39e4cb711de7822ee968b61cd,ret: 
id: 198, sign: deca46a634d2eab145e5f69fd87d43eb,ret: 
id: 934, sign: 88b59f6afa339adc48d518368dbea48f,ret: 
id: 1619, sign: 5e7b85824a29ce866341cb7a909d0b92,ret: 
id: 1978, sign: 310679808af73022a3547c8d5fd42a93,ret: 
id: 1990, sign: f855a9bc1170865fb76dac815074b828,ret: 
id: 2268, sign: 105b6e4c0c38b2e545540ce2f664ab88,ret: 
id: 3150, sign: 4c00229ecbce4292b7d45249c931b17c,ret: 
id: 3239, sign: d4d4272e62f02c0d6ed0d8f350ce0988,ret: 
id: 3458, sign: 211fb7925898822613a8a6a866e5595d,ret: 
id: 3460, sign: 4d35b06d09765c87383cd7b07d9951aa,ret: 
id: 4407, sign: 404d09534358b88ff9601f246f3616db,ret: 
id: 4463, sign: 909f4742391d3ff341c743978684732e,ret: 
id: 5349, sign: 54a587f0256c978ebd583d73528c5922,ret: 
id: 6007, sign: ec772099e331f10ee34d64b908701e6e,ret: 
id: 6533, sign: 51f3fc3f13ba7880012d8b99276137ec,ret: 
id: 6938, sign: 27e4a4e1fb3c9edf7d06cfbe4351f710,ret: 
id: 7145, sign: 9d81ff0614de38490288a56ab8a707be,ret: 
id: 8863, sign: 65c890d6cb4ff526528e412a350474fa,ret: 
id: 9310, sign: 9197bb76457c5068be106752f0263181,ret: 
id: 9847, sign: e27f67ee1a0b2d1dc5d10cc42b005530,ret: 
id: 10584, sign: 770172e9e87c0096bae45770b718dea8,ret: 
id: 13114, sign: ec274e87ed680e474a019f2330678a35,ret: 
id: 13584, sign: 1e4b14cab962b85318327007b07a9f53,ret: 
id: 13818, sign: a1fa295cdc283c272dbeb89424277783,ret: 
id: 14460, sign: 4021aeb5edb322bcf78424cf00811560,ret: 
id: 14734, sign: a8cc11d79ced1abde8b4e9ce5b649284,ret: 
id: 14847, sign: 8f519a030ac48932166db69cfd572d63,ret: 
id: 15305, sign: d0810c769e6dc3dc0747052921b29e93,ret: 
id: 15748, sign: d1f54f1f35ef1bc21e74f14405832d41,ret: 
id: 15767, sign: 283a9ed0882330d8f361e6fdd04fc314,ret: 
id: 19663, sign: a44ff172c75e01888cc38b0836d21dcd,ret: 
id: 20443, sign: 71a953e08044730f5e3585ec59efc9c4,ret: 
id: 20763, sign: 2ee265edf9e39d0bf9b93cb0ee66bc84,ret: 
id: 21111, sign: 0faead9c568ed07f826a766191d6d00f,ret: 
id: 21734, sign: ddd011018fc263ccc12e46026b227518,ret: 
id: 21871, sign: ba7007518de03cadce0877526dc8e20a,ret: 
id: 22041, sign: 69d9dbe46a511d885e0c425ee5975cba,ret: 
id: 23623, sign: d411dbf1650dd8c2997c51d199081fea,ret: 
id: 24240, sign: c28aa894d3789ff629f97716b807074d,ret: 
id: 25580, sign: a508e93b26ccf31c4af27dd171c52c45,ret: 
id: 25774, sign: 57bab7ac71349759385a9af6087bcc29,ret: 
id: 25860, sign: 83cd8ef5071848cfaf5a4a4cd050e01a,ret: 
id: 25861, sign: 00eb47bcba11ba9ef5da9ce392fcd148,ret: 
id: 25972, sign: 0e39c661885515c143692ff9f806805c,ret: 
id: 26067, sign: 63347d0ebcd39f33d718f81aa7de3e84,ret: 
id: 26496, sign: b75c5bb32697bf65ad57a4531843653b,ret: 
id: 26606, sign: 00c7009f0536dc066349f38d05b3bb38,ret: 
id: 26727, sign: 94b0bd4032b03a0c93c2f591aa9ce549,ret: 
id: 27006, sign: ab591a0fd2613c8f5d0b7cead8d41c5f,ret: 
id: 27939, sign: 2811e0bfd48855a2ba1072ad92699eb1,ret: 
id: 28040, sign: e5b05f0fec5d90f68ef5496aef5d9ede,ret: 
id: 28054, sign: 7615ea15e08a25dcb7aa9e73e8d82b52,ret: 
id: 28200, sign: ec56ad2f17cd901b198bd7a0e0825f07,ret: 
id: 28293, sign: 96db89934856167a125cd8204b8b8361,ret: 
id: 28698, sign: c025f16b2d3b7bf3aef08af6c5363cd9,ret: 
id: 28924, sign: cfb578473255c218600732afb260cd38,ret: 
