id: 14887994337, domain: tu.duowan.com, sign: fb00017627d0f8886ad2bb6c8d878acb,ret: 
id: 142467326650, domain: tu.duowan.com, sign: d10d69880a3231c20862c39b703d5d5e,ret: 
id: 143988204672, domain: tu.duowan.com, sign: 72deae3752961d3f72a118f92fd6a58c,ret: 
id: 144257347075, domain: tu.duowan.com, sign: 894d4a7179e386e2ebce18e4bf67be18,ret: 
id: 145269076042, domain: tu.duowan.com, sign: 840ae665a49d2c1d0fb4feeb83fe40a0,ret: 
id: 145507606279, domain: tu.duowan.com, sign: e97ffa9bd850d0ef9443b09ef9455d2c,ret: 
id: 149000291384, domain: tu.duowan.com, sign: c671620fcb10f8efa23f36ec8f6a6292,ret: 
id: 150036482967, domain: tu.duowan.com, sign: b2b4ff603c0e29236ca75a9a2d6871e9,ret: 
id: 1415939785276, domain: tu.duowan.com, sign: 87f7e067217a75a3b9bea81c4c1cc67a,ret: 
id: 1415962289590, domain: tu.duowan.com, sign: f21609db0a030081fbaaa24cae6ff56b,ret: 
id: 1417169104842, domain: tu.duowan.com, sign: 838f1ad865399511c84b6e892509b008,ret: 
id: 1417244492110, domain: tu.duowan.com, sign: b18161ea6f2146570619e01c3cfa799a,ret: 
id: 1417599840273, domain: tu.duowan.com, sign: a6df1f0011bfc634d9ecff1add06696e,ret: 
id: 1417682296346, domain: tu.duowan.com, sign: 466d30254e3269fd0c9caa015ab1805c,ret: 
id: 1417687560777, domain: tu.duowan.com, sign: 8db20b3e7ad3241cdfb768e8c86ec7b3,ret: 
id: 1418201883974, domain: tu.duowan.com, sign: ea210e3fa46436cb4bfb355d4d419272,ret: 
id: 1418448028960, domain: tu.duowan.com, sign: 0ad1dd23915ef6ed8b2a22bca97fbc9a,ret: 
id: 1418463779501, domain: tu.duowan.com, sign: fd0e67b308a2d7b1fd83249cfe41e98e,ret: 
id: 1418652628711, domain: tu.duowan.com, sign: 4060ee738de3bb05e38bc281af2ff74b,ret: 
id: 1418699194726, domain: tu.duowan.com, sign: daf87e927cc24e1e030f112272c3ff29,ret: 
id: 1418899442398, domain: tu.duowan.com, sign: d4d27b2888945f883d3ba9dfadff18a5,ret: 
id: 1419393421825, domain: tu.duowan.com, sign: 5abd8abb288880e619a259d65fb16e07,ret: 
id: 1419409008971, domain: tu.duowan.com, sign: 9fe093a4366df33ec0c33aa7d53f9926,ret: 
id: 1419991627652, domain: tu.duowan.com, sign: ea4dfbdb1e273deaaff536bcb6a9e327,ret: 
id: 1420106658164, domain: tu.duowan.com, sign: 08412cfdd63086495ba9fe0e3fe39586,ret: 
id: 1420181652542, domain: tu.duowan.com, sign: 31aa56bfd4a8a09eb30a177feca877af,ret: 
id: 1420206171516, domain: tu.duowan.com, sign: 5a10fdf22f04eae93cd36efc011fb310,ret: 
id: 1420429084655, domain: tu.duowan.com, sign: 0448bdfb716fcb073f4e86393d64eca6,ret: 
id: 1420446827868, domain: tu.duowan.com, sign: ef4fa95e6b59631359071843b0286072,ret: 
id: 1420476236618, domain: tu.duowan.com, sign: 36b3c0f9c554e94100b8eaf9c19b3d47,ret: 
id: 1420511691255, domain: tu.duowan.com, sign: 47cb167345fc1f4178127da333047a87,ret: 
id: 1420516232415, domain: tu.duowan.com, sign: d127b0d94e36b0074c0f67a5c6c388d3,ret: 
id: 1420526056159, domain: tu.duowan.com, sign: 2dd4e8b717f53a0567f0dca492cecb53,ret: 
id: 1420707509333, domain: tu.duowan.com, sign: 394d48bb8ab77f0140f04de78eef4e0b,ret: 
id: 1420784639472, domain: tu.duowan.com, sign: e968acfd9a37834635b337098af22194,ret: 
id: 1421031915741, domain: tu.duowan.com, sign: dcd04ce5c31223eadc82ea446254749f,ret: 
id: 1421060326419, domain: tu.duowan.com, sign: 2f6dcb29878dd63dc299cc59b81d5195,ret: 
id: 1421072389996, domain: tu.duowan.com, sign: 8cab73116149d1ea95cd88b8a263f255,ret: 
id: 1421135450779, domain: tu.duowan.com, sign: e51a9cdd8f66ca5b3fdc847416981b4f,ret: 
id: 1421138003970, domain: tu.duowan.com, sign: 28fe4df6c685ed98ab77025d1b5d6e5c,ret: 
id: 1421238778409, domain: tu.duowan.com, sign: 14d1409f10713224167c2cd18eb58ecb,ret: 
id: 1421510654285, domain: tu.duowan.com, sign: 80c14dbf3e8b74295fd0615063541e8b,ret: 
id: 1421737565987, domain: tu.duowan.com, sign: d08cd28b00433ac5918c968a4d606239,ret: 
id: 1421979759330, domain: tu.duowan.com, sign: 220020375baa67a002f9034f033c3c14,ret: 
id: 1422168490637, domain: tu.duowan.com, sign: 7b0b0db3b542716b0f5c62a9ab978d43,ret: 
id: 1422215924530, domain: tu.duowan.com, sign: 8546682f5f7aabe095b1d84c13c2c994,ret: 
id: 1422277878154, domain: tu.duowan.com, sign: 25fc93f1ca0e00cef6c55c362277a551,ret: 
id: 1422513164952, domain: tu.duowan.com, sign: af43367411ff97b2a5d13cb8c56b3e43,ret: 
id: 1422704735400, domain: tu.duowan.com, sign: 6475f93a3a0368aa622ccc79bd9062a5,ret: 
id: 1422725629337, domain: tu.duowan.com, sign: e9fb31209ccee49efc1f93d831f15aa2,ret: 
id: 1422725726285, domain: tu.duowan.com, sign: 96143462f8551dcb89bdbf24df5dc5c3,ret: 
id: 1422824354442, domain: tu.duowan.com, sign: 151f5513e8a508cc141f0f97ddbc9987,ret: 
id: 1423417262908, domain: tu.duowan.com, sign: 5706330abb2a8e069962db0acb912121,ret: 
id: 1423539367947, domain: tu.duowan.com, sign: 5f69b24f3c92cb342809d9c123de71b3,ret: 
id: 1423652167972, domain: tu.duowan.com, sign: ab6f444da207e592f4c9a202af1f0bb9,ret: 
id: 1423729035724, domain: tu.duowan.com, sign: edba61bb833264407f91d9496ee8a291,ret: 
id: 1423804795269, domain: tu.duowan.com, sign: 6b1745e3ae9bb8e64df6ae88490564e7,ret: 
id: 1424059195144, domain: tu.duowan.com, sign: 35904e32d08b39d8b96513a01ce25de3,ret: 
id: 1424113922986, domain: tu.duowan.com, sign: 0703b5b81e8115dcc7aa8970a5146eec,ret: 
id: 1424136936350, domain: tu.duowan.com, sign: 8a660e8d656870e22c1f3c25cf8b0d85,ret: 
id: 1424212335468, domain: tu.duowan.com, sign: ffc5019e22e8834ca01453f7dc2eeb94,ret: 
id: 1424245325688, domain: tu.duowan.com, sign: 6339abb75ad617809a488e12e52a2c6d,ret: 
id: 1424401997240, domain: tu.duowan.com, sign: 3ce0e56864b709e23576f029d3e017ea,ret: 
id: 1424613164758, domain: tu.duowan.com, sign: 860592ee1efb20234d85e27cfd238409,ret: 
id: 1424676905889, domain: tu.duowan.com, sign: 00042683297960b36378d3b2e2f075dd,ret: 
id: 1424676954843, domain: tu.duowan.com, sign: e27a5d91b045b73758d1a14919e35452,ret: 
id: 1424750660464, domain: tu.duowan.com, sign: d0a1b9e7aa351e890b20d812d8bfda06,ret: 
id: 1424930614398, domain: tu.duowan.com, sign: 871ab9cc7098b7d6fb800aa4fc52126a,ret: 
id: 1424938603229, domain: tu.duowan.com, sign: d12a3600e81ed4195e1a1309491c97c7,ret: 
id: 1425106081182, domain: tu.duowan.com, sign: 6529ab8539eeeef20aeea61b164b6852,ret: 
id: 1425119012335, domain: tu.duowan.com, sign: 0be126dbaec366889785c2e867d3421e,ret: 
id: 1425175403346, domain: tu.duowan.com, sign: 57587a64a483f7694feca658abdf5b5c,ret: 
id: 1425187388742, domain: tu.duowan.com, sign: 32b2d0a0d4f4285af366bdeb418ca83b,ret: 
id: 1425355281994, domain: tu.duowan.com, sign: 1c1931719d2efeb59b23317c8430f05e,ret: 
id: 1425634467909, domain: tu.duowan.com, sign: d584af0050f17c904ec075fb41a0d902,ret: 
id: 1425695214882, domain: tu.duowan.com, sign: 0ba5d68b4c09df9849634bf4740a1e4b,ret: 
id: 1425719753378, domain: tu.duowan.com, sign: 3281d455122c1871b008ce35839c732d,ret: 
id: 1425728333599, domain: tu.duowan.com, sign: 14f42abf5bafd6613386d1643cd6cd62,ret: 
id: 1425741670328, domain: tu.duowan.com, sign: 312e8b1052122d239b5a96c09911db11,ret: 
id: 1425792710966, domain: tu.duowan.com, sign: 474be4f18585a08ba52f80f4c4db826d,ret: 
id: 1425811083410, domain: tu.duowan.com, sign: 4cf1a2941d6915b61e139f69f2ecc791,ret: 
id: 1425887793617, domain: tu.duowan.com, sign: 341cdc4248bc5842731275b2bc29f173,ret: 
id: 1425905905560, domain: tu.duowan.com, sign: 5eb97f231bf24e52e1f417f894594461,ret: 
id: 1425982283401, domain: tu.duowan.com, sign: ca28efbf8646f36d7090d76600b1621a,ret: 
