hot_vid,pubdate_time,udb,yyuid,channel,name,title
2797134,"2016-07-28 15:19:13",,900821317,lol,"90077騒男 100%胜率男刀",等了这么久，弟弟终于又五杀了
2797529,"2016-07-28 15:30:20",,900821317,lol,"90077騒男 100%胜率男刀",骚男你画的是什么鬼？
2799879,"2016-07-28 17:09:40",,900821317,lol,"90077騒男 100%胜率男刀",归零者的愤怒，一言不合就拿计算机
2797618,"2016-07-28 15:34:36",,900821317,lol,"90077騒男 100%胜率男刀",EZ这舞跳的很带感
2811126,"2016-07-29 17:34:40",nioukewudi,477393888,lol,90010-西门孔子,西门剑姬塔下1V3
2790011,"2016-07-27 20:10:51",wen284211345,1026868784,lol,新浪微博：虎牙TV叫我官人丶,这到手的大龙就这样飞了
2799678,"2016-07-28 17:00:57",wen284211345,1026868784,lol,新浪微博：虎牙TV叫我官人丶,不详不按常规出牌，官人遭套路
2811239,"2016-07-29 17:41:05",gaoshoudaren2,107524968,lol,黑店百地,黑店百地精彩集锦
2811276,"2016-07-29 17:44:25",gaoshoudaren2,107524968,lol,黑店百地,黑店百地
2809801,"2016-07-29 15:56:51",dongxiaosazhibo1,500066171,lol,TCS丶董导,董导魔力瞎实力坑妹子
2809873,"2016-07-29 16:06:22",dongxiaosazhibo1,500066171,lol,TCS丶董导,MISS示爱董弱鸡？
2792907,"2016-07-27 23:18:56",dongxiaosazhibo1,500066171,lol,TCS丶董导,董小飒哄得Miss很开心
2799338,"2016-07-28 16:43:50",yy_edg02,1324335079,lol,EDG.Clearlove,毛神是一毛不拔的铁公鸡？
2793101,"2016-07-27 23:39:26",yy_edg02,1324335079,lol,EDG.Clearlove,厂长是电竞白莲花？（纯洁无暇）
2799339,"2016-07-28 16:46:54",yy_edg02,1324335079,lol,EDG.Clearlove,厂长有话说：一切以数据说话
2793362,"2016-07-28 00:14:54",paoxiaofu222,983855856,lol,新浪微博：lol陆雪琪,"陆雪琪快速走A 五杀遗憾被抢"
2811044,"2016-07-29 17:26:32",paoxiaofu222,983855856,lol,新浪微博：lol陆雪琪,新浪微博：lol陆雪琪
2811081,"2016-07-29 17:29:53",paoxiaofu222,983855856,lol,新浪微博：lol陆雪琪,陆雪琪原来这么污
2798709,"2016-07-28 16:24:55",1639423385yy,1466346678,lol,Miss大小姐的直播间,一板砖拍死！Miss被抢五杀
2799670,"2016-07-28 16:54:05",1639423385yy,1466346678,lol,Miss大小姐的直播间,"Miss唱《小幸运》 讲真唱的还真不错！"
2812697,"2016-07-29 20:05:45",nioukewudi,477393888,lol,90010-西门孔子,猜猜慎去哪里了
2810861,"2016-07-29 17:08:36",sunmengbo1,100523075,lol,小战,小战坑爹时刻
2810863,"2016-07-29 17:09:10",sunmengbo1,100523075,lol,小战,小战
2810864,"2016-07-29 17:09:42",sunmengbo1,100523075,lol,小战,小战
2810866,"2016-07-29 17:10:30",sunmengbo1,100523075,lol,小战,小战
2810899,"2016-07-29 17:14:10",sunmengbo1,100523075,lol,小战,小战
2810915,"2016-07-29 17:15:13",sunmengbo1,100523075,lol,小战,小战
2810916,"2016-07-29 17:15:30",sunmengbo1,100523075,lol,小战,小战
2810246,"2016-07-29 16:29:28",paoxiaofu222,983855856,lol,新浪微博：lol陆雪琪,"陆雪琪2016/07/29 精彩时刻"
2810715,"2016-07-29 16:55:16",paoxiaofu222,983855856,lol,新浪微博：lol陆雪琪,哇！陆雪琪也太大了吧
2793494,"2016-07-28 01:32:14",paoxiaofu222,983855856,lol,新浪微博：lol陆雪琪,"陆雪琪看污片 僵尸道长被强暴"
2810972,"2016-07-29 17:18:48",zjz1987528,63707351,lol,国服第一锐雯-风神,看点不同的！风神惨时刻
2810983,"2016-07-29 17:19:04",zjz1987528,63707351,lol,国服第一锐雯-风神,国服第一锐雯-风神
2810982,"2016-07-29 17:19:20",zjz1987528,63707351,lol,国服第一锐雯-风神,国服第一锐雯-风神
2810987,"2016-07-29 17:20:13",zjz1987528,63707351,lol,国服第一锐雯-风神,国服第一锐雯-风神
2810989,"2016-07-29 17:20:26",zjz1987528,63707351,lol,国服第一锐雯-风神,国服第一锐雯-风神
2809862,"2016-07-29 16:03:39",yy_edg01,1324273199,lol,EDG丶Koro1,Koro1选择困难症应该也是蛮严重的
2809799,"2016-07-29 15:55:32",yy_edg01,1324273199,lol,EDG丶Koro1,Koro1三杀锁定胜局
2811023,"2016-07-29 17:23:48",qq347147159,311913984,df,AzZ丶狂人(90581)荧光棒,"AzZ丶狂人(90581)15手搓光剑魂 碾压震撼大地"
2811110,"2016-07-29 17:32:31",a1151947228,172162826,df,AzZ丶小古子,"神豪自带手残 AzZ丶小古子神装剑魂号血战震撼"
2796371,"2016-07-28 14:06:13",1315598524yy,1211612188,lol,第一无伤打野老鼠90010小鑫,主播已经尴尬到脸红了...
2811092,"2016-07-29 17:30:53",a1151947228,172162826,df,AzZ丶小古子,"深渊出货有规律 AzZ丶小古子深渊出拳风"
2810855,"2016-07-29 17:02:55",xxt7758521147,965293866,df,９ｏ６６８,９ｏ６６８红眼冰魄搞笑挑逗七夕活动小麻雀
2810823,"2016-07-29 17:00:58",xxt7758521147,965293866,df,９ｏ６６８,９ｏ６６８红眼冰魄小试青龙大会
2810783,"2016-07-29 16:58:44",xxt7758521147,965293866,df,９ｏ６６８,９ｏ６６８冰魄两个技能秒杀魂悲鸣
2811552,"2016-07-29 18:05:58",a260931007,171423073,lol,JQK.旋律,惨惨惨！！！
2810753,"2016-07-29 16:57:24",xxt7758521147,965293866,df,９ｏ６６８,９ｏ６６８冰魄瞬间秒杀黑雾之源BOSS
2811714,"2016-07-29 18:15:24",qw13591226290,60662538,lol,King-第一亚索,不愧为虎牙第一亚索
2796497,"2016-07-28 14:21:46",fengyang11,184686942,lol,90010小祸水,【小祸水】小鱼人泉水里拿五杀
2796380,"2016-07-28 14:09:26",1315598524yy,1211612188,lol,第一无伤打野老鼠90010小鑫,无形装B，最为致命
2796423,"2016-07-28 14:14:01",1315598524yy,1211612188,lol,第一无伤打野老鼠90010小鑫,又是一个闪现找打的
2796518,"2016-07-28 14:35:29",a4527295,324984163,lol,最强猴子盖伦90010阿伟,这个主播有点懵
2796527,"2016-07-28 14:39:32",a4527295,324984163,lol,最强猴子盖伦90010阿伟,主播这兰博的声音是你配的吧？
2809870,"2016-07-29 16:05:01",yy_edg01,1324273199,lol,EDG丶Koro1,Koro1扇子妈辅助
2810988,"2016-07-29 17:20:19",qq347147159,311913984,df,AzZ丶狂人(90581)荧光棒,AzZ丶狂人(90581)15手搓魔战白速刷擎天柱
2811080,"2016-07-29 17:29:10",zt1097366016,1106530877,lol,进击的空老师,这声娇喘简直伤耳朵
2808530,"2016-07-29 14:16:05",angelline1018,784081653,mc,大橙橙橙子,大橙子居然要呼吁老师布置作业？！
2811187,"2016-07-29 17:39:55",lylvoe2818,922143035,lol,90010最吸引喷子的盲僧,只能说这队友脾气真好
2811415,"2016-07-29 17:55:43",lylvoe2818,922143035,lol,90010最吸引喷子的盲僧,闪现躲技能真漂亮
2811251,"2016-07-29 17:42:25",lylvoe2818,922143035,lol,90010最吸引喷子的盲僧,到底是谁在作死...
